Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;5.0;2.0;191837.0;3.0;5.0;7.0;62.75;37.25;370;0.9682822150109913
Fev;40315;0.0;8.0;5.7;2.0;228207.0;4.0;6.0;7.0;70.76;29.239999999999995;150;0.3720699491504403
Mars;20928;0.0;8.0;4.4;2.1;92217.0;3.0;4.0;6.0;55.08;44.92;429;2.049885321100917
Avril;4729;1.0;8.0;4.1;2.2;19511.0;3.0;3.0;6.0;51.57;48.43;0;0.0
Mai;40348;0.0;8.0;4.5;2.2;181101.0;3.0;5.0;6.0;56.11;43.89;1212;3.0038663626449886
Juin;17094;0.0;8.0;4.2;2.2;71257.0;2.0;4.0;6.0;52.11;47.89;230;1.3455013455013456
Juil;28163;0.0;8.0;4.1;2.4;115752.0;2.0;4.0;6.0;51.38;48.62;1623;5.762880374960054
Aout;39378;0.0;8.0;4.6;2.1;180358.0;3.0;4.0;6.0;57.25;42.75;600;1.5236934328813043
Sept;5239;2.0;8.0;6.5;1.2;33992.0;6.0;7.0;7.0;81.1;18.900000000000006;0;0.0
Oct;26797;2.0;8.0;6.0;1.8;159940.0;5.0;6.0;8.0;74.61;25.39;0;0.0
Nov;42302;1.0;8.0;5.7;1.8;242498.0;4.0;6.0;7.0;71.66;28.340000000000003;0;0.0
Dec;43197;2.0;8.0;5.0;1.7;218019.0;4.0;5.0;6.0;63.09;36.91;0;0.0
