Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;5.1;2.8;195790.0;3.0;6.0;8.0;64.05;35.95;4234;11.080288914477128
Fev;40315;0.0;8.0;4.9;2.3;196246.0;3.0;5.0;7.0;60.85;39.15;1196;2.966637727892844
Mars;20928;0.0;8.0;5.3;2.5;110722.0;4.0;6.0;8.0;66.13;33.870000000000005;1255;5.996750764525994
Avril;4729;1.0;8.0;5.4;1.6;25396.0;4.0;5.0;7.0;67.13;32.870000000000005;0;0.0
Mai;40348;0.0;8.0;3.7;2.5;150494.0;2.0;4.0;6.0;46.62;53.38;5078;12.585506096956479
Juin;17094;2.0;8.0;5.2;1.8;89470.0;4.0;5.0;7.0;65.43;34.56999999999999;0;0.0
Juil;28163;0.0;8.0;5.4;2.0;152682.0;4.0;6.0;7.0;67.77;32.230000000000004;248;0.8805880055391827
Aout;39378;0.0;8.0;2.9;1.9;112352.0;1.0;3.0;4.0;35.66;64.34;5324;13.520239727766773
Sept;5239;2.0;8.0;5.3;1.8;27779.0;4.0;5.0;7.0;66.28;33.72;0;0.0
Oct;26797;0.0;8.0;4.4;2.2;118386.0;2.0;4.0;6.0;55.22;44.78;43;0.16046572377504945
Nov;42302;0.0;8.0;4.3;2.2;182248.0;3.0;4.0;6.0;53.85;46.15;3975;9.396718831260934
Dec;43197;2.0;8.0;5.8;1.7;251115.0;4.0;6.0;7.0;72.67;27.33;0;0.0
