Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;1.0;8.0;5.6;2.0;214966.0;4.0;6.0;7.0;70.32;29.680000000000007;0;0.0
Fev;40315;0.0;8.0;4.6;2.1;185087.0;3.0;4.0;7.0;57.39;42.61;1190;2.9517549299268264
Mars;20928;0.0;8.0;5.0;2.3;105028.0;3.0;6.0;7.0;62.73;37.27;772;3.688837920489297
Avril;4729;0.0;8.0;6.1;2.2;28696.0;4.0;7.0;8.0;75.85;24.150000000000006;151;3.1930640727426516
Mai;40348;0.0;8.0;4.2;2.2;170065.0;3.0;4.0;6.0;52.69;47.31;2705;6.704173688906513
Juin;17094;1.0;8.0;5.2;1.8;88694.0;4.0;5.0;7.0;64.86;35.14;0;0.0
Juil;28163;0.0;8.0;4.9;2.5;138679.0;3.0;5.0;7.0;61.55;38.45;980;3.4797429251145116
Aout;39378;0.0;8.0;3.4;2.2;134918.0;2.0;3.0;5.0;42.83;57.17;3205;8.139062420640968
Sept;5239;3.0;8.0;6.3;1.4;32964.0;5.0;6.0;8.0;78.65;21.349999999999994;0;0.0
Oct;26797;1.0;8.0;3.3;1.9;87648.0;2.0;3.0;4.0;40.89;59.11;0;0.0
Nov;42302;1.0;8.0;4.7;2.2;197402.0;3.0;5.0;6.0;58.33;41.67;0;0.0
Dec;43197;2.0;8.0;5.8;1.5;249844.0;5.0;6.0;7.0;72.3;27.700000000000003;0;0.0
