Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;38212;100.0
Fev;40315;0.0;8.0;0.5;1.4;18371.0;0.0;0.0;0.0;2.85;97.15;34761;86.22349001612302
Mars;20928;0.0;8.0;1.7;2.0;35099.0;0.0;1.0;2.0;10.48;89.52;7881;37.65768348623853
Avril;4729;0.0;8.0;1.1;2.0;5274.0;0.0;0.0;2.0;6.97;93.03;2821;59.65320363713259
Mai;40348;0.0;11.0;2.5;2.5;102674.0;1.0;2.0;4.0;15.9;84.1;8857;21.951521760682066
Juin;17094;1.0;9.0;2.9;1.9;49697.0;1.0;2.0;4.0;18.17;81.83;0;0.0
Juil;28163;0.0;12.0;3.1;3.0;87011.0;1.0;2.0;5.0;19.31;80.69;4902;17.405816141746264
Aout;39378;0.0;12.0;2.9;2.9;113217.0;1.0;2.0;5.0;17.97;82.03;9510;24.150540911168672
Sept;5239;0.0;12.0;4.6;3.0;24179.0;2.0;4.0;7.0;28.84;71.16;294;5.611757969078068
Oct;26797;0.0;15.0;3.5;3.5;92536.0;1.0;2.0;5.0;21.58;78.42;4469;16.67723998955107
Nov;42304;0.0;15.0;4.5;3.5;191881.0;2.0;4.0;7.0;28.35;71.65;2804;6.628214826021179
Dec;43197;0.0;14.0;4.7;3.5;204224.0;2.0;4.0;8.0;29.55;70.45;4619;10.692872190198393
