Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;2.0;8.0;5.5;1.4;211110.0;4.0;5.0;6.0;69.06;30.939999999999998;0;0.0
Fev;40315;1.0;8.0;5.4;2.1;218104.0;4.0;6.0;7.0;67.62;32.379999999999995;0;0.0
Mars;20928;0.0;8.0;3.7;2.2;76876.0;2.0;3.0;5.0;45.92;54.08;1096;5.2370030581039755
Avril;4729;1.0;6.0;4.8;1.2;22689.0;4.0;5.0;6.0;59.97;40.03;0;0.0
Mai;40348;0.0;8.0;3.8;2.0;154176.0;3.0;4.0;5.0;47.76;52.24;2369;5.8714186576782
Juin;17094;0.0;7.0;1.7;1.4;28900.0;1.0;1.0;3.0;21.13;78.87;3791;22.177372177372177
Juil;28163;0.0;8.0;4.4;2.4;124715.0;3.0;4.0;7.0;55.35;44.65;1512;5.368746227319533
Aout;39378;0.0;7.0;3.0;1.5;119185.0;2.0;3.0;4.0;37.83;62.17;287;0.7288333587282239
Sept;5239;2.0;8.0;7.0;1.7;36642.0;7.0;8.0;8.0;87.43;12.569999999999993;0;0.0
Oct;26797;0.0;8.0;3.5;2.3;94995.0;2.0;3.0;5.0;44.31;55.69;3369;12.572302869724222
Nov;42302;0.0;8.0;4.5;1.9;191132.0;3.0;4.0;6.0;56.48;43.52;59;0.1394733109545648
Dec;43197;0.0;6.0;3.4;1.3;147504.0;2.0;3.0;4.0;42.68;57.32;792;1.8334606569900689
