Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;32.0;16.3;7.7;623039.0;11.0;15.0;22.0;50.95;49.05;130;0.34020726473359153
Fev;40315;0.0;31.0;14.8;8.0;596099.0;9.0;14.0;24.0;46.21;53.79;115;0.28525362768200424
Mars;20928;0.0;32.0;14.6;8.3;304867.0;8.0;13.0;22.0;45.52;54.48;284;1.3570336391437308
Avril;4729;7.0;22.0;15.1;3.7;71201.0;12.0;16.0;18.0;47.05;52.95;0;0.0
Mai;40348;0.0;29.0;9.1;6.0;365203.0;5.0;8.0;13.0;28.29;71.71000000000001;1622;4.020025775750967
Juin;17094;0.0;30.0;9.9;5.6;169943.0;6.0;9.0;13.0;31.07;68.93;234;1.368901368901369
Juil;28163;0.0;28.0;9.1;5.9;257104.0;5.0;8.0;12.0;28.53;71.47;378;1.3421865568298832
Aout;39378;0.0;32.0;9.3;5.9;368131.0;5.0;8.0;13.0;29.21;70.78999999999999;881;2.237289857280715
Sept;5239;9.0;31.0;21.0;6.2;109971.0;16.0;20.0;26.0;65.6;34.400000000000006;0;0.0
Oct;26797;1.0;32.0;19.2;6.8;513430.0;15.0;19.0;24.0;59.87;40.13;0;0.0
Nov;42304;0.0;32.0;11.1;7.2;470008.0;6.0;11.0;15.0;34.72;65.28;1026;2.425302571860817
Dec;43197;0.0;30.0;7.5;4.5;325769.0;5.0;7.0;10.0;23.57;76.43;937;2.1691321156561796
