Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212.0;0.0;24.0;9.5;6.1;361529.0;5.0;8.0;13.0;39.42;60.58;719.0;1.8816078718727103
Fev;40315.0;0.0;24.0;11.5;6.5;462959.0;6.0;11.0;16.0;47.85;52.15;1018.0;2.525114721567655
Mars;20928.0;0.0;24.0;9.7;6.4;202567.0;4.0;10.0;13.0;40.33;59.67;1395.0;6.665711009174312
Avril;4729.0;0.0;22.0;7.3;5.3;34668.0;4.0;6.0;11.0;30.55;69.45;231.0;4.884753647705646
Mai;40348.0;0.0;23.0;7.3;5.4;295665.0;3.0;6.0;11.0;30.53;69.47;2335.0;5.787151779518192
Juin;17094.0;0.0;22.0;7.6;5.9;129295.0;2.0;6.0;12.0;31.52;68.48;1608.0;9.406809406809407
Juil;1485.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;1485.0;100.0
Aout;25490.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;25490.0;100.0
Sept;5239.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;5239.0;100.0
Oct;;;;;;;;;;;;;
Nov;;;;;;;;;;;;;
Dec;;;;;;;;;;;;;
