Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38101;0.0;12.0;2.2;2.7;83416.0;0.0;1.0;3.0;18.24;81.76;14798;38.83887562006246
Fev;40315;0.0;6.0;0.4;1.2;15238.0;0.0;0.0;0.0;3.15;96.85;34950;86.69229815205259
Mars;20928;0.0;11.0;3.6;3.4;74876.0;1.0;3.0;6.0;29.81;70.19;4645;22.195145259938837
Avril;4729;0.0;6.0;3.5;1.3;16329.0;2.0;4.0;4.0;28.77;71.23;5;0.10573059843518715
Mai;40348;0.0;12.0;4.8;3.4;193099.0;2.0;5.0;7.0;39.88;60.12;5153;12.771388916427085
Juin;17094;0.0;12.0;3.1;2.8;53548.0;1.0;2.0;5.0;26.1;73.9;3090;18.076518076518077
Juil;28163;0.0;12.0;5.5;3.0;156017.0;3.0;6.0;8.0;46.16;53.84;972;3.4513368604196994
Aout;39378;0.0;11.0;4.0;2.6;159290.0;2.0;4.0;6.0;33.71;66.28999999999999;2943;7.473716288282797
Sept;5239;0.0;12.0;4.9;2.9;25835.0;3.0;4.0;6.0;41.09;58.91;90;1.7178850925749187
Oct;26797;0.0;12.0;4.0;3.4;106980.0;1.0;3.0;6.0;33.27;66.72999999999999;4158;15.516662312945478
Nov;42302;0.0;12.0;2.4;3.6;103348.0;0.0;0.0;4.0;20.36;79.64;24344;57.54810647250721
Dec;43197;0.0;12.0;4.4;3.7;192072.0;1.0;5.0;7.0;37.05;62.95;10704;24.77949857629002
