Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;1.0;8.0;4.3;2.0;166010.0;3.0;4.0;6.0;54.31;45.69;0;0.0
Fev;40315;1.0;8.0;5.1;2.1;205362.0;3.0;5.0;7.0;63.67;36.33;0;0.0
Mars;20928;1.0;8.0;5.1;1.4;107526.0;4.0;5.0;6.0;64.22;35.78;0;0.0
Avril;4729;2.0;8.0;5.1;1.2;24049.0;4.0;5.0;6.0;63.57;36.43;0;0.0
Mai;40348;0.0;8.0;4.4;2.2;178619.0;2.0;5.0;6.0;55.34;44.66;2908;7.207296520273619
Juin;17094;0.0;8.0;3.3;2.3;56825.0;2.0;3.0;5.0;41.55;58.45;1884;11.021411021411023
Juil;28163;0.0;8.0;4.5;2.4;127314.0;3.0;4.0;7.0;56.51;43.49;994;3.5294535383304333
Aout;39378;0.0;8.0;3.8;2.1;148995.0;2.0;4.0;5.0;47.3;52.7;3046;7.735283660927421
Sept;5239;0.0;7.0;3.3;2.0;17102.0;1.0;4.0;5.0;40.8;59.2;587;11.204428326016416
Oct;26797;0.0;8.0;4.6;2.0;123317.0;3.0;5.0;7.0;57.52;42.48;25;0.09329402545061015
Nov;42301;1.0;8.0;5.9;1.7;250310.0;5.0;6.0;7.0;73.97;26.03;0;0.0
Dec;43197;1.0;8.0;5.2;1.9;223402.0;3.0;6.0;7.0;64.65;35.349999999999994;0;0.0
