Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;3.9;2.1;150902.0;2.0;5.0;6.0;49.36;50.64;1702;4.45409818905056
Fev;40315;0.0;7.0;2.9;2.0;115420.0;1.0;2.0;4.0;35.79;64.21000000000001;4640;11.509363760386952
Mars;20928;0.0;8.0;3.7;2.5;77293.0;1.0;4.0;5.0;46.17;53.83;3282;15.682339449541285
Avril;4729;0.0;5.0;1.9;1.0;9044.0;1.0;2.0;3.0;23.91;76.09;330;6.978219496722351
Mai;40348;0.0;8.0;2.4;2.0;97937.0;1.0;2.0;4.0;30.34;69.66;8977;22.248934271835036
Juin;17094;0.0;4.0;1.7;1.1;29906.0;1.0;2.0;2.0;21.87;78.13;1873;10.957060957060957
Juil;28163;0.0;8.0;3.4;1.9;96355.0;2.0;4.0;5.0;42.77;57.23;2219;7.8791321947235735
Aout;39378;0.0;8.0;3.3;2.0;131424.0;2.0;3.0;5.0;41.72;58.28;1972;5.007872416069887
Sept;5239;1.0;8.0;4.3;2.3;22625.0;2.0;3.0;6.0;53.98;46.02;0;0.0
Oct;26797;1.0;8.0;3.8;2.0;101119.0;2.0;4.0;6.0;47.17;52.83;0;0.0
Nov;42303;1.0;8.0;4.8;1.4;201941.0;4.0;5.0;5.0;59.67;40.33;0;0.0
Dec;43197;1.0;6.0;2.6;1.4;112502.0;1.0;3.0;3.0;32.55;67.45;0;0.0
