Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;8.0;3.5;2.1;134891.0;2.0;3.0;5.0;44.12;55.88;2359;6.173291811687122
Fev;40315;0.0;8.0;3.0;2.0;119228.0;1.0;3.0;5.0;36.97;63.03;4464;11.072801686717103
Mars;20928;0.0;8.0;4.2;2.2;88621.0;3.0;4.0;6.0;52.93;47.07;749;3.5789373088685017
Avril;4729;0.0;8.0;3.0;2.2;14151.0;1.0;2.0;4.0;37.4;62.6;1;0.02114611968703743
Mai;40348;0.0;8.0;4.2;1.9;170150.0;3.0;4.0;6.0;52.71;47.29;1;0.00247843759294141
Juin;17094;0.0;8.0;3.0;2.6;50786.0;0.0;3.0;5.0;37.14;62.86;5310;31.063531063531062
Juil;28163;1.0;8.0;4.9;1.8;139308.0;4.0;5.0;6.0;61.83;38.17;0;0.0
Aout;39378;0.0;8.0;3.1;1.9;121507.0;2.0;3.0;4.0;38.57;61.43;2783;7.067398039514449
Sept;5239;0.0;8.0;3.7;2.2;19633.0;2.0;3.0;5.0;46.84;53.16;198;3.7793472036648215
Oct;26797;0.0;8.0;4.1;2.3;108769.0;2.0;4.0;6.0;50.74;49.26;1650;6.157405679740269
Nov;42303;0.0;8.0;4.6;1.9;195912.0;3.0;4.0;6.0;57.89;42.11;778;1.8391130652672387
Dec;43197;0.0;8.0;3.9;2.3;168073.0;2.0;4.0;6.0;48.64;51.36;2361;5.465657337315092
