Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;4.0;2.6;153156.0;2.0;4.0;7.0;50.1;49.9;2324;6.081859101852821
Fev;40315;0.0;8.0;4.0;2.0;163169.0;3.0;4.0;6.0;50.59;49.41;3545;8.793253131588738
Mars;20928;0.0;8.0;4.0;1.8;83071.0;3.0;4.0;5.0;49.62;50.38;1070;5.11276758409786
Avril;4729;1.0;8.0;4.9;1.7;23087.0;4.0;4.0;6.0;61.03;38.97;0;0.0
Mai;40348;0.0;8.0;3.1;2.1;124833.0;2.0;3.0;4.0;38.67;61.33;2568;6.364627738673541
Juin;17094;0.0;7.0;2.4;2.1;41756.0;0.0;3.0;4.0;30.53;69.47;5828;34.09383409383409
Juil;28163;0.0;8.0;2.5;2.0;71512.0;1.0;2.0;4.0;31.74;68.26;5816;20.651209033128573
Aout;39378;0.0;8.0;2.3;2.1;90327.0;1.0;2.0;3.0;28.67;71.33;7184;18.243689369698817
Sept;5239;0.0;7.0;2.8;2.0;14574.0;2.0;2.0;4.0;34.77;65.22999999999999;737;14.067570146974614
Oct;26797;0.0;8.0;3.8;2.3;102865.0;2.0;3.0;6.0;47.98;52.02;257;0.9590625816322723
Nov;42298;0.0;8.0;3.1;2.5;131709.0;1.0;3.0;5.0;38.92;61.08;6112;14.449855785143505
Dec;43197;0.0;8.0;3.8;2.1;163801.0;2.0;4.0;5.0;47.4;52.6;2421;5.604555871935551
