Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;7.0;3.1;2.0;117603.0;1.0;3.0;5.0;38.47;61.53;3600;9.42087771177348
Fev;40315;0.0;7.0;3.3;1.9;131865.0;2.0;3.0;4.0;40.89;59.11;5280;13.096862210095498
Mars;20928;0.0;8.0;2.3;2.3;48544.0;0.0;1.0;4.0;28.99;71.01;6424;30.695718654434252
Avril;4729;1.0;6.0;3.5;1.4;16408.0;2.0;3.0;5.0;43.37;56.63;0;0.0
Mai;40348;0.0;8.0;2.4;2.0;94982.0;1.0;2.0;4.0;29.43;70.57;5468;13.552096758203627
Juin;17094;0.0;5.0;1.7;1.2;28407.0;1.0;2.0;3.0;20.77;79.23;4223;24.704574704574707
Juil;28163;0.0;7.0;2.5;1.6;69808.0;1.0;2.0;3.0;30.98;69.02;3100;11.007350069239783
Aout;39378;0.0;8.0;3.0;1.7;116859.0;2.0;3.0;4.0;37.1;62.9;3395;8.62156534105338
Sept;5239;0.0;3.0;1.7;0.8;8684.0;1.0;2.0;2.0;20.72;79.28;284;5.420881847680855
Oct;26797;0.0;7.0;2.7;2.0;71917.0;1.0;2.0;4.0;33.55;66.45;4063;15.162145016233161
Nov;42302;0.0;7.0;2.8;1.7;116669.0;2.0;3.0;4.0;34.48;65.52000000000001;3538;8.363670748427971
Dec;43197;0.0;6.0;3.0;1.7;131620.0;2.0;3.0;4.0;38.09;61.91;3011;6.970391462370072
