Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;8.0;3.5;1.7;132030.0;2.0;3.0;5.0;43.19;56.81;1674;4.380708135974668
Fev;40315;0.0;8.0;3.2;2.6;130099.0;1.0;3.0;5.0;40.34;59.66;4705;11.670594071685477
Mars;20928;0.0;7.0;2.6;2.1;54381.0;1.0;2.0;5.0;32.48;67.52000000000001;4800;22.93577981651376
Avril;4729;0.0;4.0;1.1;1.0;5345.0;0.0;1.0;2.0;14.13;85.87;1323;27.97631634595052
Mai;40348;0.0;8.0;4.7;2.0;191246.0;4.0;5.0;6.0;59.25;40.75;2514;6.230792108654704
Juin;17094;3.0;8.0;5.0;1.1;85211.0;4.0;5.0;6.0;62.31;37.69;0;0.0
Juil;28163;0.0;6.0;2.4;1.5;66393.0;1.0;2.0;3.0;29.47;70.53;3144;11.163583425061251
Aout;39378;0.0;8.0;4.5;1.9;178894.0;3.0;5.0;6.0;56.79;43.21;1199;3.0448473767078066
Sept;5239;3.0;5.0;4.1;0.8;21325.0;3.0;4.0;5.0;50.88;49.12;0;0.0
Oct;26797;2.0;8.0;6.3;1.3;169206.0;5.0;6.0;7.0;78.93;21.069999999999993;0;0.0
Nov;42301;1.0;8.0;5.2;1.5;218316.0;4.0;5.0;6.0;64.51;35.489999999999995;0;0.0
Dec;43197;1.0;8.0;3.7;1.4;158539.0;3.0;3.0;4.0;45.88;54.12;0;0.0
