Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;1.0;8.0;2.0;2.0;74958.0;1.0;1.0;1.0;24.52;75.48;0;0.0
Fev;40316;0.0;8.0;5.0;2.3;200106.0;3.0;5.0;7.0;62.04;37.96;1246;3.0905843833713664
Mars;20928;0.0;8.0;4.2;2.2;88277.0;2.0;4.0;6.0;52.73;47.27;340;1.624617737003058
Avril;4729;2.0;8.0;5.8;1.8;27474.0;4.0;6.0;7.0;72.62;27.379999999999995;0;0.0
Mai;40348;1.0;8.0;4.3;2.0;172646.0;3.0;4.0;6.0;53.49;46.51;0;0.0
Juin;17094;1.0;8.0;5.0;1.9;85783.0;4.0;5.0;6.0;62.73;37.27;0;0.0
Juil;28163;0.0;7.0;4.0;2.2;111623.0;2.0;4.0;6.0;49.54;50.46;1924;6.831658559102369
Aout;39378;0.0;8.0;4.9;1.9;192735.0;4.0;5.0;6.0;61.18;38.82;455;1.155467519934989
Sept;5239;2.0;8.0;5.9;1.4;30776.0;5.0;6.0;7.0;73.43;26.569999999999993;0;0.0
Oct;26797;1.0;8.0;5.0;2.0;135242.0;4.0;5.0;7.0;63.09;36.91;0;0.0
Nov;42298;0.0;8.0;4.5;2.3;192336.0;3.0;5.0;6.0;56.84;43.16;1481;3.5013475814459314
Dec;43197;0.0;8.0;3.8;2.3;165693.0;2.0;3.0;6.0;47.95;52.05;2376;5.500381970970206
