Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;8.0;3.5;2.5;134853.0;1.0;3.0;6.0;44.11;55.89;4351;11.386177478868447
Fev;40315;0.0;8.0;3.5;2.4;141451.0;2.0;3.0;5.0;43.86;56.14;5482;13.597916408284757
Mars;20928;0.0;8.0;2.9;2.4;61320.0;1.0;3.0;4.0;36.63;63.37;3394;16.21750764525994
Avril;4729;0.0;8.0;2.4;1.9;11123.0;1.0;2.0;3.0;29.4;70.6;992;20.97695072954113
Mai;40348;0.0;8.0;3.7;2.4;148851.0;2.0;3.0;6.0;46.11;53.89;2654;6.577773371666501
Juin;17094;0.0;8.0;3.9;2.4;67277.0;2.0;4.0;6.0;49.2;50.8;1585;9.272259272259273
Juil;28163;0.0;8.0;3.6;2.4;100738.0;2.0;4.0;5.0;44.71;55.29;3128;11.106771295671626
Aout;39377;0.0;8.0;4.5;2.2;177362.0;3.0;5.0;6.0;56.3;43.7;764;1.940218909515707
Sept;5239;0.0;8.0;5.0;2.2;26294.0;4.0;5.0;7.0;62.74;37.26;130;2.481389578163772
Oct;26797;0.0;8.0;4.6;2.4;124338.0;3.0;5.0;7.0;58.0;42.0;1647;6.146210396686196
Nov;42300;0.0;8.0;4.5;2.2;188945.0;3.0;4.0;6.0;55.83;44.17;2066;4.884160756501181
Dec;43197;0.0;8.0;3.3;1.9;141983.0;2.0;3.0;5.0;41.09;58.91;2603;6.025881426950946
