Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;8.0;1.9;2.3;74414.0;0.0;1.0;3.0;24.34;75.66;13093;34.26320885562505
Fev;40315;0.0;6.0;2.2;2.0;86847.0;0.0;1.0;4.0;26.93;73.07;11362;28.183058414982014
Mars;20928;0.0;7.0;3.1;2.2;63884.0;1.0;3.0;4.0;38.16;61.84;2601;12.428325688073393
Avril;4729;1.0;6.0;3.4;1.3;16051.0;2.0;4.0;4.0;42.43;57.57;0;0.0
Mai;40348;0.0;6.0;1.6;1.4;62791.0;0.0;1.0;2.0;19.45;80.55;11016;27.30246852384257
Juin;17094;0.0;8.0;2.0;1.6;33640.0;1.0;2.0;3.0;24.6;75.4;3519;20.586170586170585
Juil;28163;0.0;6.0;2.0;1.7;56381.0;0.0;2.0;3.0;25.02;74.98;7442;26.424741682349186
Aout;39377;0.0;7.0;1.9;1.8;76203.0;0.0;2.0;3.0;24.19;75.81;10594;26.904030271478273
Sept;5239;0.0;3.0;1.0;0.8;4991.0;0.0;1.0;1.0;11.91;88.09;1403;26.779919832029016
Oct;26797;0.0;8.0;1.7;1.5;46504.0;0.0;2.0;3.0;21.69;78.31;6797;25.364779639511887
Nov;42305;0.0;7.0;2.0;1.5;85137.0;1.0;2.0;3.0;25.16;74.84;5041;11.915849190403026
Dec;43197;0.0;7.0;2.8;1.6;122712.0;2.0;3.0;4.0;35.51;64.49000000000001;3858;8.931175776095563
