Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;7.0;3.2;2.0;122673.0;2.0;3.0;5.0;40.13;59.87;3801;9.9468767173475
Fev;40315;0.0;6.0;1.8;1.4;71788.0;1.0;1.0;3.0;22.26;77.74;8116;20.13146471536649
Mars;20928;0.0;5.0;1.6;1.6;33091.0;0.0;1.0;3.0;19.76;80.24;7645;36.530007645259936
Avril;4729;0.0;6.0;2.0;1.6;9437.0;1.0;2.0;3.0;24.94;75.06;934;19.75047578769296
Mai;40348;0.0;8.0;2.9;2.1;116776.0;1.0;3.0;4.0;36.18;63.82;6826;16.917815009418064
Juin;17094;0.0;7.0;2.5;1.9;43219.0;1.0;2.0;4.0;31.6;68.4;2656;15.537615537615537
Juil;28163;0.0;6.0;1.9;1.2;53222.0;1.0;1.0;3.0;23.62;76.38;2488;8.834286120086638
Aout;39377;0.0;8.0;2.7;2.3;105256.0;0.0;3.0;4.0;33.41;66.59;10491;26.64245625619016
Sept;5239;0.0;5.0;2.6;1.8;13865.0;1.0;3.0;4.0;33.08;66.92;928;17.713304065661386
Oct;26797;0.0;5.0;1.9;1.2;49889.0;1.0;2.0;3.0;23.27;76.73;3971;14.818823002574916
Nov;42305;0.0;7.0;2.5;1.8;107727.0;1.0;2.0;4.0;31.83;68.17;6655;15.731001063704053
Dec;43197;0.0;7.0;2.8;1.6;121413.0;1.0;3.0;4.0;35.13;64.87;1323;3.0627126883811377
