Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;8.0;4.0;2.2;154478.0;2.0;4.0;6.0;50.53;49.47;3737;9.77939444691597
Fev;40315;0.0;8.0;4.4;2.4;176675.0;2.0;4.0;6.0;54.78;45.22;875;2.1704080367109015
Mars;20928;0.0;8.0;4.6;2.3;96887.0;3.0;5.0;6.0;57.87;42.13;1465;7.000191131498471
Avril;4729;0.0;8.0;2.6;2.2;12387.0;1.0;2.0;4.0;32.74;67.25999999999999;768;16.240219919644744
Mai;40348;0.0;8.0;2.8;2.0;113390.0;1.0;3.0;4.0;35.13;64.87;4977;12.335183900069396
Juin;17094;0.0;8.0;3.3;2.2;55814.0;1.0;3.0;5.0;40.81;59.19;1874;10.962910962910962
Juil;28163;0.0;8.0;3.9;2.2;109540.0;2.0;3.0;6.0;48.62;51.38;569;2.020381351418528
Aout;39377;0.0;8.0;3.7;2.4;145119.0;2.0;4.0;6.0;46.07;53.93;3128;7.943723493409858
Sept;5239;0.0;6.0;4.2;1.6;21831.0;3.0;4.0;5.0;52.09;47.91;30;0.5726283641916396
Oct;26797;1.0;8.0;5.7;1.6;152775.0;5.0;6.0;7.0;71.26;28.739999999999995;0;0.0
Nov;42301;1.0;8.0;4.7;1.9;196837.0;3.0;5.0;6.0;58.17;41.83;0;0.0
Dec;43197;0.0;8.0;4.8;2.4;208497.0;3.0;5.0;7.0;60.33;39.67;925;2.141352408732088
