Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;10.0;1.5;1.5;58749.0;0.0;1.0;2.0;12.81;87.19;10485;27.438306335540265
Fev;40315;0.0;9.0;1.6;2.1;64962.0;0.0;1.0;2.0;13.43;86.57;17474;43.34366860969862
Mars;20928;0.0;5.0;0.9;1.2;18733.0;0.0;0.0;1.0;7.46;92.54;11276;53.87996941896025
Avril;4729;0.0;4.0;0.5;0.6;2562.0;0.0;0.0;1.0;4.51;95.49;2430;51.385070839500955
Mai;40348;0.0;12.0;1.8;2.1;74156.0;0.0;1.0;3.0;15.32;84.68;15997;39.64756617428373
Juin;17094;0.0;7.0;2.1;1.7;35693.0;1.0;2.0;3.0;17.4;82.6;3044;17.807417807417806
Juil;28163;0.0;9.0;2.7;2.3;76239.0;1.0;2.0;4.0;22.56;77.44;4161;14.774704399389268
Aout;39377;0.0;9.0;2.5;2.1;100034.0;1.0;2.0;4.0;21.17;78.83;7703;19.562180968585725
Sept;5239;0.0;9.0;4.7;2.8;24788.0;2.0;5.0;7.0;39.43;60.57;262;5.000954380606986
Oct;26797;0.0;10.0;2.1;1.9;55415.0;1.0;2.0;3.0;17.23;82.77;5727;21.37179535022577
Nov;42300;1.0;8.0;2.7;1.3;114654.0;2.0;2.0;3.0;22.59;77.41;0;0.0
Dec;43197;2.0;6.0;2.9;1.0;125860.0;2.0;3.0;3.0;24.28;75.72;0;0.0
