Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;8.0;3.2;2.1;123329.0;2.0;3.0;5.0;40.34;59.66;5724;14.979195561719832
Fev;40315;0.0;8.0;3.2;2.2;127114.0;1.0;3.0;5.0;39.41;60.59;3595;8.917276447972219
Mars;20928;0.0;7.0;4.3;1.8;90538.0;3.0;5.0;6.0;54.08;45.92;696;3.325688073394496
Avril;4729;0.0;5.0;2.1;1.4;10107.0;1.0;2.0;3.0;26.72;73.28;747;15.79615140621696
Mai;40348;0.0;8.0;2.4;1.9;98131.0;1.0;2.0;3.0;30.4;69.6;8073;20.008426687816
Juin;17094;0.0;8.0;3.9;1.6;67003.0;3.0;4.0;5.0;49.0;51.0;76;0.4446004446004446
Juil;28163;1.0;8.0;4.1;1.9;114091.0;3.0;4.0;5.0;50.64;49.36;0;0.0
Aout;39377;0.0;8.0;3.4;1.7;133524.0;2.0;3.0;4.0;42.39;57.61;368;0.9345557051070421
Sept;5239;1.0;8.0;5.8;1.8;30215.0;6.0;6.0;7.0;72.09;27.909999999999997;0;0.0
Oct;26797;1.0;8.0;4.5;2.2;120362.0;3.0;4.0;7.0;56.15;43.85;0;0.0
Nov;42308;0.0;8.0;3.8;1.5;160158.0;3.0;4.0;5.0;47.32;52.68;142;0.3356339226623806
Dec;43197;0.0;8.0;4.2;1.9;182379.0;3.0;4.0;6.0;52.78;47.22;513;1.187582471004931
