Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;8.0;2.5;2.3;96526.0;1.0;2.0;4.0;31.57;68.43;9485;24.821395860047627
Fev;40315;0.0;5.0;1.4;1.4;56821.0;0.0;1.0;2.0;17.62;82.38;13011;32.273347389309194
Mars;20928;0.0;8.0;2.3;1.1;48829.0;2.0;2.0;3.0;29.16;70.84;529;2.5277140672782874
Avril;4729;1.0;6.0;4.2;1.1;19863.0;4.0;4.0;5.0;52.5;47.5;0;0.0
Mai;40348;0.0;8.0;2.9;2.2;116180.0;1.0;2.0;5.0;35.99;64.00999999999999;7532;18.667591950034698
Juin;17094;0.0;7.0;2.7;1.8;45839.0;1.0;3.0;4.0;33.52;66.47999999999999;2051;11.998361998361998
Juil;28163;0.0;5.0;2.2;1.3;60654.0;1.0;2.0;3.0;26.92;73.08;2828;10.041543869616163
Aout;39377;0.0;8.0;3.1;1.9;121858.0;2.0;3.0;4.0;38.68;61.32;3772;9.579195977347183
Sept;5239;3.0;7.0;5.5;0.9;28786.0;5.0;6.0;6.0;68.68;31.319999999999993;0;0.0
Oct;26797;0.0;8.0;3.5;1.9;93973.0;2.0;3.0;5.0;43.84;56.16;1539;5.74318020673956
Nov;42302;0.0;8.0;4.4;2.4;186842.0;3.0;4.0;7.0;55.21;44.79;1974;4.666446030920524
Dec;43197;2.0;8.0;5.5;1.6;235565.0;4.0;6.0;7.0;68.17;31.83;0;0.0
