Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;7.0;37.0;24.1;5.0;920104.0;21.0;23.0;27.0;35.41;64.59;0;0.0
Fev;40315;1.0;58.0;29.6;10.4;1193817.0;22.0;26.0;32.0;43.55;56.45;0;0.0
Mars;20928;10.0;64.0;35.1;9.2;733666.0;30.0;35.0;38.0;51.55;48.45;0;0.0
Avril;4729;1.0;57.0;38.9;8.3;184152.0;36.0;40.0;44.0;57.27;42.73;0;0.0
Mai;40348;0.0;67.0;37.3;13.6;1504473.0;30.0;39.0;46.0;54.83;45.17;128;0.3172400118965005
Juin;17094;1.0;51.0;26.2;11.6;447170.0;20.0;24.0;34.0;38.47;61.53;0;0.0
Juil;28163;3.0;40.0;22.5;7.5;633538.0;17.0;21.0;28.0;33.08;66.92;0;0.0
Aout;39377;0.0;57.0;28.3;12.7;1115758.0;19.0;27.0;37.0;41.67;58.33;2;0.005079107092973056
Sept;5239;4.0;44.0;31.5;8.4;165268.0;29.0;32.0;37.0;46.39;53.61;0;0.0
Oct;26797;18.0;65.0;48.5;8.7;1298354.0;41.0;49.0;53.0;71.25;28.75;0;0.0
Nov;42302;2.0;68.0;47.9;8.4;2025390.0;45.0;48.0;51.0;70.41;29.590000000000003;0;0.0
Dec;43197;35.0;65.0;53.6;5.1;2315539.0;50.0;54.0;56.0;78.83;21.17;0;0.0
