Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;1.0;12.0;4.4;2.9;167034.0;2.0;4.0;6.0;36.43;63.57;0;0.0
Fev;40315;0.0;11.0;3.6;2.4;145612.0;2.0;3.0;5.0;30.1;69.9;6207;15.396254495845218
Mars;20927;0.0;11.0;2.9;2.1;59865.0;1.0;3.0;3.0;23.84;76.16;2355;11.253404692502508
Avril;4729;0.0;7.0;2.3;1.9;11110.0;1.0;2.0;4.0;19.58;80.42;868;18.35483188834849
Mai;40348;0.0;12.0;3.2;2.9;130143.0;1.0;3.0;5.0;26.88;73.12;10044;24.89342718350352
Juin;17094;0.0;8.0;2.0;2.3;34142.0;0.0;1.0;3.0;16.64;83.36;6235;36.47478647478648
Juil;28163;0.0;12.0;3.1;2.4;86372.0;1.0;3.0;5.0;25.56;74.44;3520;12.49866846571743
Aout;39377;0.0;12.0;2.9;2.6;115733.0;1.0;2.0;5.0;24.49;75.51;6059;15.38715493816187
Sept;5239;0.0;7.0;2.3;2.0;12098.0;1.0;2.0;4.0;19.24;80.76;1241;23.68772666539416
Oct;26797;0.0;12.0;4.3;3.2;116487.0;1.0;4.0;7.0;36.23;63.77;3103;11.57965443892973
Nov;42304;0.0;12.0;4.5;2.9;188779.0;2.0;4.0;7.0;37.19;62.81;3209;7.585571104387292
Dec;43197;0.0;9.0;3.8;2.3;165302.0;2.0;4.0;6.0;31.89;68.11;4023;9.313146746301827
