Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;8.0;3.2;2.1;123089.0;2.0;3.0;5.0;40.26;59.74;4490;11.749928034961924
Fev;40316;0.0;8.0;2.7;2.1;107536.0;1.0;2.0;4.0;33.34;66.66;7862;19.500942553824785
Mars;20927;0.0;7.0;1.9;1.6;40233.0;1.0;2.0;3.0;24.03;75.97;4464;21.331294499928322
Avril;4729;0.0;7.0;2.5;2.0;11984.0;1.0;3.0;4.0;31.68;68.32;1114;23.556777331359697
Mai;40348;0.0;8.0;2.0;1.7;80702.0;1.0;2.0;3.0;25.0;75.0;8710;21.587191434519678
Juin;17094;0.0;8.0;2.1;1.7;36240.0;1.0;2.0;3.0;26.5;73.5;2135;12.48976248976249
Juil;28163;0.0;8.0;2.1;1.5;60442.0;1.0;2.0;3.0;26.83;73.17;2599;9.22842026772716
Aout;39377;0.0;8.0;2.4;1.7;96454.0;1.0;2.0;3.0;30.62;69.38;2350;5.96795083424334
Sept;5239;0.0;8.0;2.6;2.1;13654.0;1.0;1.0;4.0;32.58;67.42;255;4.8673410956289365
Oct;26797;0.0;8.0;3.3;2.3;87208.0;1.0;3.0;5.0;40.68;59.32;4434;16.546628353920216
Nov;42298;0.0;8.0;3.2;1.9;133682.0;2.0;3.0;4.0;39.51;60.49;1035;2.446924204454111
Dec;43197;1.0;8.0;4.1;1.8;176617.0;3.0;4.0;5.0;51.11;48.89;0;0.0
