Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38213;0.0;7.0;1.9;2.2;72690.0;0.0;1.0;4.0;23.78;76.22;15876;41.54607070892104
Fev;40316;0.0;7.0;2.3;1.7;93484.0;1.0;2.0;3.0;28.98;71.02;3312;8.215100704434963
Mars;20927;0.0;8.0;2.5;1.7;53250.0;1.0;2.0;4.0;31.81;68.19;2216;10.589190997276246
Avril;4729;1.0;6.0;3.6;1.5;16964.0;3.0;4.0;4.0;44.84;55.16;0;0.0
Mai;40348;0.0;8.0;2.4;1.9;97280.0;1.0;2.0;3.0;30.14;69.86;6111;15.145732130464957
Juin;17094;0.0;4.0;0.6;1.1;10855.0;0.0;0.0;1.0;7.94;92.06;11717;68.54451854451854
Juil;28163;0.0;5.0;1.5;1.4;41573.0;0.0;1.0;3.0;18.45;81.55;7053;25.043496786563928
Aout;39377;0.0;6.0;1.7;1.6;67341.0;0.0;1.0;3.0;21.38;78.62;12281;31.188257104401046
Sept;5239;0.0;3.0;1.4;0.7;7255.0;1.0;1.0;2.0;17.31;82.69;614;11.719793853788891
Oct;26797;0.0;7.0;1.1;1.4;28321.0;0.0;0.0;2.0;13.21;86.78999999999999;14139;52.76336903384708
Nov;42304;0.0;8.0;3.6;2.2;151274.0;2.0;4.0;5.0;44.7;55.3;4724;11.16679273827534
Dec;43197;0.0;8.0;3.8;2.6;163183.0;1.0;4.0;6.0;47.22;52.78;6714;15.542746024029446
