Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;;;;;;;;;;;;;
Fev;;;;;;;;;;;;;
Mars;;;;;;;;;;;;;
Avril;;;;;;;;;;;;;
Mai;;;;;;;;;;;;;
Juin;;;;;;;;;;;;;
Juil;28163.0;0.0;7.0;2.9;1.7;82515.0;2.0;3.0;4.0;36.62;63.38;1323.0;4.697652948904591
Aout;39377.0;0.0;7.0;2.5;2.0;97190.0;1.0;2.0;3.0;30.85;69.15;8026.0;20.38245676410087
Sept;5239.0;0.0;4.0;1.5;0.9;8027.0;1.0;1.0;2.0;19.15;80.85;209.0;3.989310937201756
Oct;26797.0;0.0;6.0;2.4;1.5;63281.0;1.0;2.0;4.0;29.52;70.48;4297.0;16.03537709445087
Nov;42303.0;0.0;7.0;3.9;1.7;166267.0;3.0;4.0;5.0;49.13;50.87;816.0;1.9289412098432737
Dec;43197.0;0.0;7.0;3.0;1.3;130991.0;2.0;3.0;4.0;37.91;62.09;1030.0;2.3844248443178926
