Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;;;;;;;;;;;;;
Fev;;;;;;;;;;;;;
Mars;;;;;;;;;;;;;
Avril;;;;;;;;;;;;;
Mai;;;;;;;;;;;;;
Juin;;;;;;;;;;;;;
Juil;28163.0;0.0;7.0;3.1;1.4;88564.0;2.0;3.0;4.0;19.65;80.35;2.0;0.007101516173703085
Aout;39376.0;0.0;11.0;4.6;2.6;182462.0;2.0;5.0;7.0;28.96;71.03999999999999;237.0;0.6018894758228363
Sept;5239.0;0.0;11.0;4.6;3.3;23922.0;2.0;5.0;7.0;28.54;71.46000000000001;544.0;10.383661004008399
Oct;26797.0;0.0;8.0;3.2;2.3;86474.0;2.0;3.0;6.0;20.17;79.83;4637.0;17.30417584057917
Nov;42304.0;0.0;10.0;5.3;2.0;222657.0;4.0;6.0;7.0;32.9;67.1;1.0;0.0023638426626323753
Dec;43197.0;1.0;9.0;5.0;1.7;214508.0;4.0;5.0;6.0;31.04;68.96000000000001;0.0;0.0
