hour;nb_data;min;max;mean;sum;median;nb_sup_seuil
0;2996;53.0;164.0;116.59813084112149;349328.0;115.5;1382
1;2996;53.0;164.0;116.59813084112149;349328.0;115.5;1382
2;2996;53.0;164.0;116.59813084112149;349328.0;115.5;1382
3;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
4;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
5;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
6;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
7;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
8;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
9;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
10;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
11;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
12;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
13;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
14;3019;45.0;164.0;115.0904272938059;347458.0;115.0;1348
15;3016;44.0;163.0;113.44661803713528;342155.0;114.0;1296
16;3016;44.0;163.0;113.44661803713528;342155.0;114.0;1296
17;3016;44.0;163.0;113.44661803713528;342155.0;114.0;1296
18;3016;44.0;163.0;113.44661803713528;342155.0;114.0;1296
19;3016;44.0;163.0;113.44661803713528;342155.0;114.0;1296
20;3016;44.0;163.0;113.44661803713528;342155.0;114.0;1296
21;3016;44.0;163.0;113.44661803713528;342155.0;114.0;1296
22;3016;44.0;163.0;113.44661803713528;342155.0;114.0;1296
23;3016;44.0;163.0;113.44661803713528;342155.0;114.0;1296
